"Record.number","In-refID","IndividualID","Predator","Predator.common.name","Predator.taxon","Predator.lifestage","Type.of.feeding.interaction","Predator.mass","Prey","Prey.common.name","Prey.taxon","Prey.mass","Prey.mass.unit","Location"
3634,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",2.80E+004,"unidentified squid","squid","ectotherm invertebrate",6.04E+000,"g","French Polynesian EEZ"
3635,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",2.80E+004,"unidentified squid","squid","ectotherm invertebrate",6.04E+000,"g","French Polynesian EEZ"
3636,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",2.80E+004,"unidentified squid","squid","ectotherm invertebrate",6.04E+000,"g","French Polynesian EEZ"
3637,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",2.80E+004,"unidentified squid","squid","ectotherm invertebrate",6.32E+000,"g","French Polynesian EEZ"
3638,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",2.80E+004,"unidentified squid","squid","ectotherm invertebrate",6.60E+000,"g","French Polynesian EEZ"
3639,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",2.80E+004,"unidentified squid","squid","ectotherm invertebrate",6.60E+000,"g","French Polynesian EEZ"
3640,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",2.80E+004,"unidentified squid","squid","ectotherm invertebrate",6.89E+000,"g","French Polynesian EEZ"
3641,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",2.80E+004,"unidentified squid","squid","ectotherm invertebrate",7.48E+000,"g","French Polynesian EEZ"
3642,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",2.80E+004,"unidentified squid","squid","ectotherm invertebrate",7.48E+000,"g","French Polynesian EEZ"
3643,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",2.80E+004,"unidentified squid","squid","ectotherm invertebrate",1.17E+001,"g","French Polynesian EEZ"
3644,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",2.80E+004,"gelatinous","gelatinous","ectotherm invertebrate",2.68E-002,"g","French Polynesian EEZ"
3645,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",2.80E+004,"gelatinous","gelatinous","ectotherm invertebrate",2.68E-002,"g","French Polynesian EEZ"
3646,"n/a",796,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",2.80E+004,"gelatinous","gelatinous","ectotherm invertebrate",2.68E-002,"g","French Polynesian EEZ"
3647,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",1.06E-001,"g","French Polynesian EEZ"
3648,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",3.93E-001,"g","French Polynesian EEZ"
3649,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",5.93E-001,"g","French Polynesian EEZ"
3650,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",6.89E-001,"g","French Polynesian EEZ"
3651,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",6.89E-001,"g","French Polynesian EEZ"
3652,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",7.41E-001,"g","French Polynesian EEZ"
3653,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",7.41E-001,"g","French Polynesian EEZ"
3654,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",8.52E-001,"g","French Polynesian EEZ"
3655,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",9.11E-001,"g","French Polynesian EEZ"
3656,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",9.11E-001,"g","French Polynesian EEZ"
3657,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",1.11E+000,"g","French Polynesian EEZ"
3658,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",1.33E+000,"g","French Polynesian EEZ"
3659,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",1.41E+000,"g","French Polynesian EEZ"
3660,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",3.14E+000,"g","French Polynesian EEZ"
3661,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",8.31E+000,"g","French Polynesian EEZ"
3662,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",1.09E+001,"g","French Polynesian EEZ"
3663,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",1.19E+001,"g","French Polynesian EEZ"
3664,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",3.51E+001,"g","French Polynesian EEZ"
3665,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",3.58E+001,"g","French Polynesian EEZ"
3666,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",4.33E+001,"g","French Polynesian EEZ"
3667,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",4.66E+001,"g","French Polynesian EEZ"
3668,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",4.66E+001,"g","French Polynesian EEZ"
3669,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",4.74E+001,"g","French Polynesian EEZ"
3670,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",5.18E+001,"g","French Polynesian EEZ"
3671,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",5.74E+001,"g","French Polynesian EEZ"
3672,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",4.84E+004,"fish","fish","ectotherm vertebrate",6.54E+001,"g","French Polynesian EEZ"
3673,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",4.84E+004,"crustacean","crustacean","ectotherm invertebrate",1.28E+000,"g","French Polynesian EEZ"
3674,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",4.84E+004,"crustacean","crustacean","ectotherm invertebrate",2.84E+000,"g","French Polynesian EEZ"
3675,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",4.84E+004,"crustacean","crustacean","ectotherm invertebrate",4.00E+000,"g","French Polynesian EEZ"
3676,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",4.84E+004,"crustacean","crustacean","ectotherm invertebrate",4.93E+000,"g","French Polynesian EEZ"
3677,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",4.84E+004,"unidentified squid","squid","ectotherm invertebrate",1.46E+000,"g","French Polynesian EEZ"
3678,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",4.84E+004,"unidentified squid","squid","ectotherm invertebrate",6.60E+000,"g","French Polynesian EEZ"
3679,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",4.84E+004,"unidentified squid","squid","ectotherm invertebrate",1.02E+001,"g","French Polynesian EEZ"
3680,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",4.84E+004,"unidentified squid","squid","ectotherm invertebrate",3.82E+001,"g","French Polynesian EEZ"
3681,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",4.84E+004,"gelatinous","gelatinous","ectotherm invertebrate",9.20E-001,"g","French Polynesian EEZ"
3682,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",4.84E+004,"gelatinous","gelatinous","ectotherm invertebrate",9.20E-001,"g","French Polynesian EEZ"
3683,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",4.84E+004,"gelatinous","gelatinous","ectotherm invertebrate",1.71E+000,"g","French Polynesian EEZ"
3684,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",4.84E+004,"gelatinous","gelatinous","ectotherm invertebrate",2.44E+000,"g","French Polynesian EEZ"
3685,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",4.84E+004,"gelatinous","gelatinous","ectotherm invertebrate",3.10E+000,"g","French Polynesian EEZ"
3686,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",4.84E+004,"gelatinous","gelatinous","ectotherm invertebrate",3.61E+000,"g","French Polynesian EEZ"
3687,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",4.84E+004,"gelatinous","gelatinous","ectotherm invertebrate",5.43E+000,"g","French Polynesian EEZ"
3688,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",4.84E+004,"gelatinous","gelatinous","ectotherm invertebrate",6.54E+000,"g","French Polynesian EEZ"
3689,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",4.84E+004,"gelatinous","gelatinous","ectotherm invertebrate",8.71E+000,"g","French Polynesian EEZ"
3690,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",4.84E+004,"gelatinous","gelatinous","ectotherm invertebrate",1.13E+001,"g","French Polynesian EEZ"
3691,"n/a",797,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","planktivorous",4.84E+004,"gelatinous","gelatinous","ectotherm invertebrate",3.10E+001,"g","French Polynesian EEZ"
3692,"n/a",798,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.51E+004,"fish","fish","ectotherm vertebrate",1.22E-001,"g","French Polynesian EEZ"
3693,"n/a",798,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.51E+004,"fish","fish","ectotherm vertebrate",3.01E+000,"g","French Polynesian EEZ"
3694,"n/a",798,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.51E+004,"fish","fish","ectotherm vertebrate",6.14E+000,"g","French Polynesian EEZ"
3695,"n/a",798,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.51E+004,"fish","fish","ectotherm vertebrate",4.17E+001,"g","French Polynesian EEZ"
3696,"n/a",798,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.51E+004,"unidentified squid","squid","ectotherm invertebrate",9.81E+000,"g","French Polynesian EEZ"
3697,"n/a",798,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.51E+004,"unidentified squid","squid","ectotherm invertebrate",2.02E+001,"g","French Polynesian EEZ"
3698,"n/a",799,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.60E+004,"fish","fish","ectotherm vertebrate",4.29E-001,"g","French Polynesian EEZ"
3699,"n/a",799,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.60E+004,"fish","fish","ectotherm vertebrate",1.33E+000,"g","French Polynesian EEZ"
3700,"n/a",799,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.60E+004,"crustacean","crustacean","ectotherm invertebrate",1.43E-001,"g","French Polynesian EEZ"
3701,"n/a",799,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.60E+004,"crustacean","crustacean","ectotherm invertebrate",2.39E-001,"g","French Polynesian EEZ"
3702,"n/a",799,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.60E+004,"crustacean","crustacean","ectotherm invertebrate",3.74E-001,"g","French Polynesian EEZ"
3703,"n/a",799,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.60E+004,"unidentified squid","squid","ectotherm invertebrate",1.46E+000,"g","French Polynesian EEZ"
3704,"n/a",799,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.60E+004,"unidentified squid","squid","ectotherm invertebrate",2.93E+000,"g","French Polynesian EEZ"
3705,"n/a",799,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.60E+004,"unidentified squid","squid","ectotherm invertebrate",3.30E+000,"g","French Polynesian EEZ"
3706,"n/a",799,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.60E+004,"unidentified squid","squid","ectotherm invertebrate",3.30E+000,"g","French Polynesian EEZ"
3707,"n/a",799,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.60E+004,"unidentified squid","squid","ectotherm invertebrate",5.02E+000,"g","French Polynesian EEZ"
3708,"n/a",799,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.60E+004,"unidentified squid","squid","ectotherm invertebrate",1.02E+001,"g","French Polynesian EEZ"
3709,"n/a",800,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.86E+004,"fish","fish","ectotherm vertebrate",4.33E+001,"g","French Polynesian EEZ"
3710,"n/a",801,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.78E+004,"fish","fish","ectotherm vertebrate",2.38E+000,"g","French Polynesian EEZ"
3711,"n/a",801,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.78E+004,"fish","fish","ectotherm vertebrate",1.82E+002,"g","French Polynesian EEZ"
3712,"n/a",802,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.27E+004,"fish","fish","ectotherm vertebrate",5.07E-001,"g","French Polynesian EEZ"
3713,"n/a",802,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.27E+004,"fish","fish","ectotherm vertebrate",7.41E-001,"g","French Polynesian EEZ"
3714,"n/a",802,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.27E+004,"fish","fish","ectotherm vertebrate",1.18E+000,"g","French Polynesian EEZ"
3715,"n/a",802,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.27E+004,"fish","fish","ectotherm vertebrate",1.95E+000,"g","French Polynesian EEZ"
3716,"n/a",802,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.27E+004,"fish","fish","ectotherm vertebrate",2.75E+000,"g","French Polynesian EEZ"
3717,"n/a",802,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.27E+004,"fish","fish","ectotherm vertebrate",4.22E+000,"g","French Polynesian EEZ"
3718,"n/a",802,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.27E+004,"unidentified squid","squid","ectotherm invertebrate",1.35E+000,"g","French Polynesian EEZ"
3719,"n/a",802,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.27E+004,"unidentified squid","squid","ectotherm invertebrate",1.46E+000,"g","French Polynesian EEZ"
3720,"n/a",802,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.27E+004,"unidentified squid","squid","ectotherm invertebrate",2.27E+000,"g","French Polynesian EEZ"
3721,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",3.59E-001,"g","French Polynesian EEZ"
3722,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",4.29E-001,"g","French Polynesian EEZ"
3723,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",5.07E-001,"g","French Polynesian EEZ"
3724,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",5.93E-001,"g","French Polynesian EEZ"
3725,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",5.93E-001,"g","French Polynesian EEZ"
3726,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",6.89E-001,"g","French Polynesian EEZ"
3727,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",7.41E-001,"g","French Polynesian EEZ"
3728,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",7.41E-001,"g","French Polynesian EEZ"
3729,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",7.95E-001,"g","French Polynesian EEZ"
3730,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",7.95E-001,"g","French Polynesian EEZ"
3731,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",9.73E-001,"g","French Polynesian EEZ"
3732,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.11E+000,"g","French Polynesian EEZ"
3733,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.11E+000,"g","French Polynesian EEZ"
3734,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.11E+000,"g","French Polynesian EEZ"
3735,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.18E+000,"g","French Polynesian EEZ"
3736,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.18E+000,"g","French Polynesian EEZ"
3737,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.25E+000,"g","French Polynesian EEZ"
3738,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.25E+000,"g","French Polynesian EEZ"
3739,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.25E+000,"g","French Polynesian EEZ"
3740,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.25E+000,"g","French Polynesian EEZ"
3741,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.33E+000,"g","French Polynesian EEZ"
3742,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.41E+000,"g","French Polynesian EEZ"
3743,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.41E+000,"g","French Polynesian EEZ"
3744,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.41E+000,"g","French Polynesian EEZ"
3745,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.41E+000,"g","French Polynesian EEZ"
3746,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.41E+000,"g","French Polynesian EEZ"
3747,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.49E+000,"g","French Polynesian EEZ"
3748,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.49E+000,"g","French Polynesian EEZ"
3749,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.57E+000,"g","French Polynesian EEZ"
3750,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.57E+000,"g","French Polynesian EEZ"
3751,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.66E+000,"g","French Polynesian EEZ"
3752,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.66E+000,"g","French Polynesian EEZ"
3753,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.66E+000,"g","French Polynesian EEZ"
3754,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.66E+000,"g","French Polynesian EEZ"
3755,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.76E+000,"g","French Polynesian EEZ"
3756,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.85E+000,"g","French Polynesian EEZ"
3757,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.85E+000,"g","French Polynesian EEZ"
3758,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.95E+000,"g","French Polynesian EEZ"
3759,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.95E+000,"g","French Polynesian EEZ"
3760,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.95E+000,"g","French Polynesian EEZ"
3761,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",2.05E+000,"g","French Polynesian EEZ"
3762,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",2.05E+000,"g","French Polynesian EEZ"
3763,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",2.16E+000,"g","French Polynesian EEZ"
3764,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",2.27E+000,"g","French Polynesian EEZ"
3765,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",2.27E+000,"g","French Polynesian EEZ"
3766,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",2.62E+000,"g","French Polynesian EEZ"
3767,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","piscivorous",3.69E+004,"fish","fish","ectotherm vertebrate",1.12E+001,"g","French Polynesian EEZ"
3768,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.69E+004,"crustacean","crustacean","ectotherm invertebrate",3.85E-002,"g","French Polynesian EEZ"
3769,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.69E+004,"crustacean","crustacean","ectotherm invertebrate",2.39E-001,"g","French Polynesian EEZ"
3770,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.69E+004,"crustacean","crustacean","ectotherm invertebrate",7.95E-001,"g","French Polynesian EEZ"
3771,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.69E+004,"crustacean","crustacean","ectotherm invertebrate",1.10E+000,"g","French Polynesian EEZ"
3772,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.69E+004,"crustacean","crustacean","ectotherm invertebrate",1.03E+001,"g","French Polynesian EEZ"
3773,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.69E+004,"unidentified squid","squid","ectotherm invertebrate",3.89E+000,"g","French Polynesian EEZ"
3774,"n/a",803,"Thunnus albacares","Yellowfin tuna","ectotherm vertebrate","adult","predacious",3.69E+004,"unidentified squid","squid","ectotherm invertebrate",5.27E+000,"g","French Polynesian EEZ"
